;Place of interest;City;Place address;lat_start;long_start;Type of place;Start;id;BiciMAD station;light;number;Station location;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry_type;geometry_coordinates;long_finish;lat_finish;final;Distance
948;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);162;Velázquez 130;2;140;Calle Velázquez nº 130;1;0;27;17;10;0;Point;[-3.6831578, 40.4385127];-3.6831578;40.4385127;POINT (4501594.642201326 -410289.9240125618);4511.9122695263495
880;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);94;Conde Peñalver;1;89;Calle Ayala nº 102;1;0;24;19;4;0;Point;[-3.6752024, 40.4272582];-3.6752024;40.4272582;POINT (4500341.796992193 -409402.503963725);4524.293698785794
891;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);105;Palacio de Deportes;2;100;Calle Goya nº 99;1;0;24;9;13;0;Point;[-3.67384, 40.42478];-3.67384;40.42478;POINT (4500065.925030109 -409250.5298636022);4555.890119490833
940;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);154;Paseo de la Castellana con Raimundo Fernández;2;138;Paseo de la Castellana esquina calle Raimundo Fernández Villaverde;1;0;24;12;10;0;Point;[-3.6917932, 40.4457414];-3.6917932;40.4457414;POINT (4502399.337404424 -411253.2066275122);4566.1283308514185
854;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);66;O'Donnell;0;62;Calle O'Donnell nº 50;1;0;24;7;16;0;Point;[-3.6724968, 40.4213148];-3.6724968;40.4213148;POINT (4499680.180730613 -409100.6977278018);4575.4324982170565
937;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);151;Castellana 106;1;136;Paseo de la Castellana nº 106;1;0;24;19;3;0;Point;[-3.690861, 40.4453307];-3.690861;40.4453307;POINT (4502353.618489555 -411149.2188625906);4578.90288544251
1053;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);268;Facultad Biología;2;260;Calle José Antonio Novais frente al nº 12;1;0;24;9;14;0;Point;[-3.7272945, 40.4483322];-3.7272945;40.4483322;POINT (4502687.743941171 -415213.4906984274);4594.546534302226
1031;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);245;Pablo Iglesias;0;237;Calle Francisco Balseiro nº 1;1;0;24;3;15;0;Point;[-3.710525, 40.451333];-3.710525;40.451333;POINT (4503021.791469144 -413342.7792699079);4600.006175038073
890;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);104;Alcántara;1;99;Calle Alcántara nº 2;1;0;24;18;5;0;Point;[-3.6738714, 40.4261851];-3.6738714;40.4261851;POINT (4500222.340046623 -409254.0324936567);4611.32645020239
952;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);166;Diego de León 52;2;143;Calle Diego de León nº 52;1;0;24;13;10;0;Point;[-3.678492, 40.4345973];-3.678492;40.4345973;POINT (4501158.781867075 -409769.4558894613);4625.65429473768
